,temperature,performance,internet,size,set,range,sparsity,multiply,time
138,30,3.5,0,50,1,10,0.2,1,2.07424163818359E-05
139,30,3.5,0,50,1,10,0.8,0,0.093754291534424
140,30,3.5,0,50,1,10,0.8,1,1.93119049072266E-05
141,30,3.5,0,50,1,100000,0.2,0,0.092666387557983
142,30,3.5,0,50,1,100000,0.2,1,3.29017639160156E-05
143,30,3.5,0,50,1,100000,0.8,0,0.092607259750366
144,30,3.5,0,50,1,100000,0.8,1,1.93119049072266E-05
145,30,3.5,0,150,0,10,0.2,0,2.71129298210144
146,30,3.5,0,150,0,10,0.2,1,0.004172325134277
147,30,3.5,0,150,0,10,0.8,0,2.64099931716919
148,30,3.5,0,150,0,10,0.8,1,0.004123449325562
149,30,3.5,0,150,0,100000,0.2,0,2.6395046710968
150,30,3.5,0,150,0,100000,0.2,1,0.003992795944214
151,30,3.5,0,150,0,100000,0.8,0,2.49641036987305
152,30,3.5,0,150,0,100000,0.8,1,0.003674983978271
153,30,3.5,0,150,1,10,0.2,0,2.19740319252014
154,30,3.5,0,150,1,10,0.2,1,0.0002281665802
155,30,3.5,0,150,1,10,0.8,0,2.28067994117737
156,30,3.5,0,150,1,10,0.8,1,0.000281810760498
157,30,3.5,0,150,1,100000,0.2,0,2.27198100090027
158,30,3.5,0,150,1,100000,0.2,1,0.000244617462158
159,30,3.5,0,150,1,100000,0.8,0,2.35045003890991
160,30,3.5,0,150,1,100000,0.8,1,0.000244855880737
161,30,3.5,1,50,0,10,0.2,0,0.105640888214111
162,30,3.5,1,50,0,10,0.2,1,0.000160217285156
163,30,3.5,1,50,0,10,0.8,0,0.104349613189697
164,30,3.5,1,50,0,10,0.8,1,0.000160217285156
165,30,3.5,1,50,0,100000,0.2,0,0.10401439666748
166,30,3.5,1,50,0,100000,0.2,1,0.000167369842529
167,30,3.5,1,50,0,100000,0.8,0,0.103281736373901
168,30,3.5,1,50,0,100000,0.8,1,0.000159978866577
169,30,3.5,1,50,1,10,0.2,0,0.092480421066284
170,30,3.5,1,50,1,10,0.2,1,1.97887420654297E-05
171,30,3.5,1,50,1,10,0.8,0,0.092665672302246
172,30,3.5,1,50,1,10,0.8,1,1.93119049072266E-05
173,30,3.5,1,50,1,100000,0.2,0,0.09158992767334
174,30,3.5,1,50,1,100000,0.2,1,1.85966491699219E-05
175,30,3.5,1,50,1,100000,0.8,0,0.091910123825073
176,30,3.5,1,50,1,100000,0.8,1,1.95503234863281E-05
177,30,3.5,1,150,0,10,0.2,0,2.90513181686401
178,30,3.5,1,150,0,10,0.2,1,0.0045166015625
179,30,3.5,1,150,0,10,0.8,0,2.94523763656616
180,30,3.5,1,150,0,10,0.8,1,0.004394054412842
181,30,3.5,1,150,0,100000,0.2,0,2.84000205993652
182,30,3.5,1,150,0,100000,0.2,1,0.003965377807617
183,30,3.5,1,150,0,100000,0.8,0,2.5732684135437
184,30,3.5,1,150,0,100000,0.8,1,0.004134654998779
185,30,3.5,1,150,1,10,0.2,0,2.36192226409912
186,30,3.5,1,150,1,10,0.2,1,0.000235795974731
187,30,3.5,1,150,1,10,0.8,0,2.44445729255676
188,30,3.5,1,150,1,10,0.8,1,0.000998258590698
189,30,3.5,1,150,1,100000,0.2,0,2.51298713684082
190,30,3.5,1,150,1,100000,0.2,1,0.000885963439941
191,30,3.5,1,150,1,100000,0.8,0,2.36938238143921
192,30,3.5,1,150,1,100000,0.8,1,0.000226020812988
193,30,5.6,0,50,0,10,0.2,0,0.160358428955078
194,30,5.6,0,50,0,10,0.2,1,0.000231027603149
195,30,5.6,0,50,0,10,0.8,0,0.156415700912476
196,30,5.6,0,50,0,10,0.8,1,0.000216245651245
197,30,5.6,0,50,0,100000,0.2,0,0.148210287094116
198,30,5.6,0,50,0,100000,0.2,1,0.000216245651245
199,30,5.6,0,50,0,100000,0.8,0,0.158588647842407
200,30,5.6,0,50,0,100000,0.8,1,0.000211477279663
201,30,5.6,0,50,1,10,0.2,0,0.129777669906616
202,30,5.6,0,50,1,10,0.2,1,2.59876251220703E-05
203,30,5.6,0,50,1,10,0.8,0,0.128367900848389
204,30,5.6,0,50,1,10,0.8,1,3.33786010742187E-05
205,30,5.6,0,50,1,100000,0.2,0,0.108452796936035
206,30,5.6,0,50,1,100000,0.2,1,2.33650207519531E-05
207,30,5.6,0,50,1,100000,0.8,0,0.107572317123413
208,30,5.6,0,50,1,100000,0.8,1,2.14576721191406E-05
209,30,5.6,0,150,0,10,0.2,0,3.26121163368225
210,30,5.6,0,150,0,10,0.2,1,0.004648208618164
211,30,5.6,0,150,0,10,0.8,0,3.13719844818115
212,30,5.6,0,150,0,10,0.8,1,0.004830360412598
213,30,5.6,0,150,0,100000,0.2,0,3.29310750961304
214,30,5.6,0,150,0,100000,0.2,1,0.004950046539307
215,30,5.6,0,150,0,100000,0.8,0,3.34756302833557
216,30,5.6,0,150,0,100000,0.8,1,0.004753351211548
217,30,5.6,0,150,1,10,0.2,0,2.87468338012695
218,30,5.6,0,150,1,10,0.2,1,0.002661466598511
219,30,5.6,0,150,1,10,0.8,0,2.59799361228943
220,30,5.6,0,150,1,10,0.8,1,0.000478982925415
221,30,5.6,0,150,1,100000,0.2,0,2.62503504753113
222,30,5.6,0,150,1,100000,0.2,1,0.000318050384521
223,30,5.6,0,150,1,100000,0.8,0,2.85344290733337
224,30,5.6,0,150,1,100000,0.8,1,0.000296831130981
225,30,5.6,1,50,0,10,0.2,0,0.141265630722046
226,30,5.6,1,50,0,10,0.2,1,0.000194311141968
227,30,5.6,1,50,0,10,0.8,0,0.145713329315186
228,30,5.6,1,50,0,10,0.8,1,0.000205039978027
229,30,5.6,1,50,0,100000,0.2,0,0.136587619781494
230,30,5.6,1,50,0,100000,0.2,1,0.000201940536499
231,30,5.6,1,50,0,100000,0.8,0,0.143221855163574
232,30,5.6,1,50,0,100000,0.8,1,0.000220537185669
233,30,5.6,1,50,1,10,0.2,0,0.135229349136353
234,30,5.6,1,50,1,10,0.2,1,2.95639038085937E-05
235,30,5.6,1,50,1,10,0.8,0,0.136355638504028
236,30,5.6,1,50,1,10,0.8,1,5.07831573486328E-05
237,30,5.6,1,50,1,100000,0.2,0,0.130558967590332
238,30,5.6,1,50,1,100000,0.2,1,2.43186950683594E-05
239,30,5.6,1,50,1,100000,0.8,0,0.122493267059326
240,30,5.6,1,50,1,100000,0.8,1,2.40802764892578E-05
241,30,5.6,1,150,0,10,0.2,0,3.89033460617065
242,30,5.6,1,150,0,10,0.2,1,0.004892587661743
243,30,5.6,1,150,0,10,0.8,0,3.37945365905762
244,30,5.6,1,150,0,10,0.8,1,0.004358053207397
245,30,5.6,1,150,0,100000,0.2,0,3.40447783470154
246,30,5.6,1,150,0,100000,0.2,1,0.004997968673706
247,30,5.6,1,150,0,100000,0.8,0,3.37097072601318
248,30,5.6,1,150,0,100000,0.8,1,0.004689931869507
249,30,5.6,1,150,1,10,0.2,0,3.03175187110901
250,30,5.6,1,150,1,10,0.2,1,0.00261926651001
251,30,5.6,1,150,1,10,0.8,0,3.06723237037659
252,30,5.6,1,150,1,10,0.8,1,0.006359338760376
253,30,5.6,1,150,1,100000,0.2,0,3.1090452671051
254,30,5.6,1,150,1,100000,0.2,1,0.000473022460938
255,30,5.6,1,150,1,100000,0.8,0,3.07031440734863
256,30,5.6,1,150,1,100000,0.8,1,0.000285148620605
