,temperature,performance,internet,size,set,range,sparsity,multiply,time
1,25,4.5,0,100,0,50000,0.5,0,1.28909659385681
2,25,4.5,0,100,0,50000,0.5,1,0.001569032669067
3,25,4.5,0,100,1,50000,0.5,0,1.12894725799561
4,25,4.5,0,100,1,50000,0.5,1,0.000168323516846
5,25,4.5,1,100,0,50000,0.5,0,1.22430372238159
6,25,4.5,1,100,0,50000,0.5,1,0.001511812210083
7,25,4.5,1,100,1,50000,0.5,0,1.16661286354065
8,25,4.5,1,100,1,50000,0.5,1,0.002096652984619
